address|balance
0xc8dd27f16bf22450f5771b9fe4ed4ffcb30936f4|36.2200473193558
0x3f10800282d1b7ddc78fa92d8230074e1bf6aeae|1348.954275
0x5948bc3650ed519bf891a572679fd992f8780c57|197.0
0xdd4dd6d36033b0636fcc8d0938609f4dd64f4a86|60.0
0xdda371e600d30688d4710e088e02fdf2b9524d5f|400.64437806876504
0xa0459ef3693aacd1647cd5d8929839204cef53be|1000.0
0x4e8e47ae3b1ef50c9d54a38e14208c1abd3603c2|226.4283029185
0x5887dc6a33dfed5ac1edefe35ef91a216231ac96|78.98965370984853
0x21dbdb817a0d8404c6bdd61504374e9c43c9210e|9999.901343091
0xfcada300283f6bcc134a91456760b0d77de410e0|2000.0
0x38ac664ee8e0795e4275cb852bcba6a479ad9c8d|20.0
0x8df339214b6ad1b24663ce716034749d6ef838d9|785.7573677479008
0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a|40891.62685493
0x8262169b615870134eb4ac6c5f471c6bf2f789fc|462.5
0xbb48eaf516ce2dec3e41feb4c679e4957641164f|49.924037961467235
0x40ea5044b204b23076b1a5803bf1d30c0f88871a|14000.0
0xff12e49d8e06aa20f886293c0b98ed7eff788805|201.84812166171105
0x26f9f7cefd7e394b9d3924412bf2c2831faf1f85|2000.949358640978
0x5126460d692c71c9af6f05574d93998368a23799|52.0
0x3e76a62db187aa74f63817533b306cead0e8cebe|6872.758561908572
0xe727e67ef911b81f6cf9c73fcbfebc2b02b5bfc6|2000.0
0xf3be99b9103ce7550aa74ff1db18e09dfe32e005|2000.0
0x19f643e1a8fa04ae16006028138333a59a96de87|19.99699095
0xb749b54e04d5b19bdcedfb84da7701ab478c27ae|2680.0
0xce5e04f0184369bcfa06aca66ffa91bf59fa0fb9|40.0
0xfb5125bf0f5eb0b6f020e56bfc2fdf3d402c097e|5910.0
0x010df1df4bed23760d2d1c03781586ddf7918e54|10.156260511073409
0x39bac68d947859f59e9226089c96d62e9fbe3cde|40.0
0x3885fee67107dc3a3c741ee290c98918c9b99397|20.0
0x509c8668036d143fb8ae70b11995631f3dfcad87|1000.0
0x25b78c9fad85b43343f0bfcd0fac11c9949ca5eb|2000.0
0x5997ffefb3c1d9d10f1ae2ac8ac3c8e2d2292783|1000.0
0x949f8c107bc7f0aceaa0f17052aadbd2f9732b2e|2000.0
0x5d2819e8d57821922ee445650ccaec7d40544a8d|200.0
0x07e1162ceae3cf21a3f62d105990302e307f4e3b|29.898236
0x5cb953a0e42f5030812226217fffc3ce230457e4|100.0
0xbd17eed82b9a2592019a1b1b3c0fbad45c408d22|250.0
0xfa0c1a988c8a17ad3528eb28b3409daa58225f26|200.0
0xfce089635ce97abac06b44819be5bb0a3e2e0b37|92.491
0x366175403481e0ab15bb514615cbb989ebc68f82|400.9971526910457
0x53989ed330563fd57dfec9bd343c3760b0799390|6208.0
0xe761d27fa3502cc76bb1a608740e1403cf9dfc69|280.0
0xd513a45080ff2febe62cd5854abe29ee4467f996|153.2
0x1b799033ef6dc7127822f74542bb22dbfc09a308|100.0
0x6b2284440221ce16a8382de5ff0229472269deec|1000.0
0xe780a56306ba1e6bb331952c22539b858af9f77d|50000.000015637
0x433e3ba1c51b810fc467d5ba4dea42f7a9885e69|40.56500405149133
0x53ce88e66c5af2f29bbd8f592a56a3d15f206c32|140.84
0xc033be10cb48613bd5ebcb33ed4902f38b583003|3000.0
0x4039bd50a2bde15ffe37191f410390962a2b8886|200.0
0x5a565285374a49eedd504c957d510874d00455bc|100.0
0x5abfec25f74cd88437631a7731906932776356f9|10.288146033060158
0x69b80ed90f84834afa3ff82eb964703b560977d6|26.74
0xacc0909fda2ea6b7b7a88db7a0aac868091ddbf6|22.155
0x51f9c432a4e59ac86282d6adab4c2eb8919160eb|832.29637202
0xa429fa88731fdd350e8ecd6ea54296b6484fe695|1969.606
0x6aeb9f74742ea491813dbbf0d6fcde1a131d4db3|128.12596559
0x540c072802014ef0d561345aec481e8e11cb3570|2800.9485353
0xb8947822d5ace7a6ad8326e95496221e0be6b73d|18.999244
0xeac17b81ed5191fb0802aa54337313834107aaa4|8000.0
0xd1a71b2d0858e83270085d95a3b1549650035e23|23.892847559
0x9edc90f4be210865214ab5b35e5a8dd77415279d|4000.0
0xa5e0fc3c3affed3db6710947d1d6fb017f3e276d|690.4324321953959
0xa3932a31d6ff75fb3b1271ace7caa7d5e1ff1051|20000.000012456
0xae57cc129a96a89981dac60d2ffb877d5dc5e432|300.9288390846932
0xcc9ac715cd6f2610c52b58676456884297018b29|12.369559
0x0f2fb884c8aaff6f543ac6228bd08e4f60b0a5fd|757.990043
0xa5e9cd4b74255d22b7d9b27ae8dd43ed6ed0252b|766.527
0xccf43975b76bfe735fec3cb7d4dd24f805ba0962|60.0
0xd6110276cfe31e42825a577f6b435dbcc10cf764|1000.0
0xad728121873f0456d0518b80ab6580a203706595|500.0
0x7e47637e97c14622882be057bea229386f4052e5|22.839133288216615
0xd03fc165576aaed525e5502c8e140f8b2e869639|528.7955127925213
0x6d6634b5b8a40195d949027af4828802092ceeb6|3000.005
0xc25266c7676632f13ef29be455ed948add567792|1337.0
0xd7ebddb9f93987779b680155375438db65afcb6a|100.6
0x2cd79eb52027b12c18828e3eaab2969bfcd287e9|20.0
0x4d9c77d0750c5e6fbc247f2fd79274686cb353d6|20.0
0xb52dfb45de5d74e3df208332bc571c809b8dcf32|5999.991366766
0xe08c60313106e3f9334fe6f7e7624d211130c077|40.0
0x41e4a20275e39bdcefeb655c0322744b765140c2|19.974679320489077
0xbb993b96ee925ada7d99d786573d3f89180ce3aa|566.2860303271
0xdadbfafd8b62b92a24efd75256dd83abdbd7bbdb|19.7
0xe1b2aca154b8e0766c4eba30bc10c7f35036f368|19.98
0x33481e856ebed48ea708a27426ef28e867f57cd1|200.0
